"station_id","station_name","latitude","longitude","elevation","tz"
43210,"COTTAGE",38.34587,-120.22952,6064,"America/Los_Angeles"
40408,"HOOPA",41.04783,-123.67128,375,"America/Los_Angeles"
402102,"BURNS",36.065,-87.28306,706,"America/Chicago"
401801,"GREENFIELD",36.16083,-88.8001,499,"America/Chicago"
463301,"FLATWOODS",38.63611,-80.61972,1642,"America/New_York"
347701,"BROKEN BOW",34.05,-94.73722,500,"America/Chicago"
84001,"PAISLEY",28.99557,-81.53687,85,"America/New_York"
314301,"NORTH COVE PINNACLE (FR1)",35.81658,-81.93722,2560,"America/New_York"
315406,"DARE BOMB RANGE (FR2)",35.76082,-75.87145,3,"America/New_York"
170791,"MCFARLAND HILL",44.37694,-68.26083,424,"America/New_York"
400101,"STILLY HOLLOW",36.51281,-87.95106,580,"America/Chicago"
14201,"TUSKEGEE",32.48361,-85.55556,509,"America/Chicago"
156502,"HOUCHIN MEADOW",37.13167,-86.14806,774,"America/Chicago"
41808,"SECRET TOWN",39.18383,-120.88442,2757,"America/Los_Angeles"
414201,"COLDSPRINGS",30.51817,-95.14475,145,"America/Chicago"
83501,"CENTRAL",29.10636,-81.62944,74,"America/New_York"
353038,"TOKETEE",43.21856,-122.41258,3360,"America/Los_Angeles"
40511,"YOLLA BOLLA",40.33745,-123.06562,4481,"America/Los_Angeles"
159901,"KYLBL",36.77805,-88.05713,649,"America/Chicago"
157002,"SOMERSET",37.0527,-84.61371,921,"America/New_York"
42309,"WOODACRE",37.99056,-122.64472,1400,"America/Los_Angeles"
159801,"YELLOW CREEK",36.60361,-83.69611,1090,"America/New_York"
384102,"WAMBAW",32.97417,-79.66861,19,"America/New_York"
92201,"DALLAS",33.83333,-84.74,951,"America/New_York"
81301,"OLUSTEE",30.25139,-82.42083,175,"America/New_York"
82202,"ST. MARKS  (EAST)",30.13917,-84.13639,15,"America/New_York"
159501,"ALPINE",36.79556,-85.38028,853,"America/Chicago"
92901,"NEWNAN",33.36528,-84.85972,873,"America/New_York"
40423,"ALDER POINT",40.18602,-123.59106,1059,"America/Los_Angeles"
361071,"BEARS HEAD",40.80942,-76.011,1172,"America/New_York"
460902,"WVU RESEARCH FOREST",39.67694,-79.77194,2280,"America/New_York"
315201,"POCOSIN LAKES",35.73722,-76.51444,6,"America/New_York"
33202,"GUY",35.32667,-92.27611,610,"America/Chicago"
316302,"RUTHERFORD COUNTY",35.42861,-81.93945,1056,"America/New_York"
403604,"WATAUGA",36.20127,-82.38883,2830,"America/New_York"
352562,"GREEN MOUNTAIN",43.72528,-122.80556,3064,"America/Los_Angeles"
460901,"KINGWOOD",39.40667,-79.70083,1873,"America/New_York"
40421,"EEL RIVER CAMP",40.13838,-123.82376,476,"America/Los_Angeles"
280191,"TEETERTOWN",40.74917,-74.85861,1017,"America/New_York"
83502,"LAKE GEORGE",29.39861,-81.80556,129,"America/New_York"
86102,"DING DARLING NWR",26.44083,-82.10472,10,"America/New_York"
400201,"FORT CAMPBELL",36.62556,-87.53694,545,"America/Chicago"
34503,"MARIANNA",34.75611,-90.72222,253,"America/Chicago"
86001,"LOXAHATCHEE",26.48806,-80.42694,17,"America/New_York"
317801,"BEAUFORT",35.52081,-76.93183,55,"America/New_York"
241519,"POINT 6",47.04136,-113.98631,7897,"America/Denver"
448502,"FLATWOODS",36.89047,-82.45708,2308,"America/New_York"
98201,"CAMILLA",31.21417,-84.23611,160,"America/New_York"
14801,"GUNTER",32.41428,-86.24089,216,"America/Chicago"
451702,"ENUMCLAW",47.22028,-121.96389,756,"America/Los_Angeles"
42603,"BALD MTN LOC",38.90417,-120.70522,4613,"America/Los_Angeles"
157201,"PEABODY",37.13769,-83.57789,1465,"America/New_York"
81302,"EDDY TOWER",30.54194,-82.34333,131,"America/New_York"
31102,"COMPTON",36.06738,-93.35609,2365,"America/Chicago"
384002,"WITHERBEE",33.16111,-79.82917,51,"America/New_York"
